SPY,EFA,EEM,TLT
70.925201,22.952286,10.988598,41.882843
71.691399,23.406841,11.303279,41.649487
71.511505,23.462526,11.253139,41.827446
71.398247,23.509254,11.21389,41.659355
71.691399,23.563148,11.136853,41.75333
71.191727,23.39426,11.115779,42.420765
71.671417,23.590088,11.137581,42.12413
71.118408,23.491278,11.091066,41.827446
71.111732,23.322395,11.046738,41.896679
71.911285,23.581108,11.24805,42.198288
72.051186,23.658369,11.299647,42.277405
71.691399,23.500265,11.308369,42.252666
72.064537,23.801388,11.261128,42.391121
72.291054,23.745489,11.130314,42.677872
73.103882,24.098907,11.309827,43.063503
72.900421,23.963669,11.337435,43.048702
73.409164,24.122046,11.497528,42.930038
73.456024,24.173143,11.52892,42.445503
73.382393,24.231529,11.566151,42.845982
73.435974,24.187738,11.59535,43.004169
74.413277,24.594637,11.770548,42.618546
74.426704,24.64208,11.826756,42.445503
74.493629,24.957748,11.975864,42.445503
74.460159,25.025263,12.242514,41.94381
75.270149,25.506977,12.672075,41.834545
75.343819,25.545294,12.528889,42.296467
75.598206,25.289841,12.558112,42.465363
75.899445,25.652941,12.605592,42.450451
75.236687,25.490553,12.582945,43.190586
75.792328,25.483248,12.571989,43.155823
75.350471,25.335453,12.500397,43.448879
75.97979,25.554413,12.520121,43.662479
76.167213,25.399309,12.264433,43.826424
76.46846,25.308081,12.31703,43.518436
76.448364,25.581785,12.674997,43.508488
77.050812,25.891975,12.691801,43.612816
76.850044,25.908396,12.659658,43.930725
76.602333,25.63105,12.638469,43.404167
77.566299,25.713156,12.722486,43.140919
76.769684,25.600029,12.658195,43.40918
75.892708,25.271597,12.479215,43.02668
75.966354,25.304424,12.282697,42.93726
75.966354,25.238745,12.265892,43.235306
76.294395,25.180349,12.268815,43.144505
76.167213,25.225977,12.200141,43.363972
75.544624,24.952276,12.090558,43.279198
75.765541,25.05628,12.086906,43.109631
76.6157,25.528868,12.362326,43.583454
76.635811,25.68944,12.540579,43.713112
76.883507,25.800735,12.529618,43.468681
77.700165,26.092693,12.723944,43.792912
77.419006,25.864611,12.71737,43.608379
77.070923,25.831764,12.726137,43.792912
77.767113,26.329901,12.98183,43.763016
77.425705,25.964962,12.805034,43.822857
77.137863,26.138306,12.693264,43.867741
76.903549,25.818996,12.550804,43.563499
76.709435,25.891975,12.441221,43.832821
76.575554,25.791622,12.37547,43.912628
76.896889,25.600029,12.510624,43.982449
76.943718,25.609156,12.572722,43.842831
76.997299,25.818996,12.750972,44.221859
77.760437,26.165665,13.041734,44.204853
77.305229,25.746002,12.937994,43.924389
77.445816,25.691263,12.857635,43.844292
77.646622,25.773371,12.9453,44.039581
77.907715,26.074436,12.992787,44.890984
76.957077,25.90657,12.868594,45.156353
76.649216,25.727766,12.784577,45.456825
75.363853,25.315386,12.49236,45.426781
74.386513,24.904829,12.222057,45.491901
75.363853,25.123791,12.324335,45.211422
74.440102,24.696825,12.094213,45.286556
74.835075,24.924908,12.243974,45.662125
75.671806,25.444931,12.412001,45.587021
75.691933,25.435804,12.485053,45.346676
74.606987,25.107374,12.320683,45.286556
73.659782,24.780754,12.123434,45.561996
73.532204,24.970524,12.245432,45.642113
73.592628,24.871988,12.254936,45.6171
74.566719,25.344589,12.374742,45.441811
74.586868,25.235096,12.352095,44.961079
75.634796,25.600029,12.510624,44.660603
75.890068,25.65477,12.664039,44.630508
75.977409,25.837236,12.82111,44.845814
76.434212,26.180267,12.925573,44.699074
77.01194,26.255077,13.054884,43.59306
77.43515,26.255077,13.146201,43.251156
77.186584,26.174803,13.219261,43.487415
77.005203,26.214941,13.171773,43.386913
76.830566,26.160208,13.182728,43.261219
77.132858,26.329901,13.284277,43.105358
76.051323,25.992336,13.129401,42.637794
76.172226,25.724108,12.935802,42.602627
75.883347,25.545294,12.828413,42.351234
76.467804,25.818996,12.923384,42.512112
76.467804,25.846369,12.9453,42.421627
75.184723,25.490553,12.832067,42.034496
75.688538,25.663887,12.737097,42.240643
76.749962,25.846369,12.733441,42.491974
76.823868,25.809858,12.828413,42.250683
76.716339,25.802563,12.645775,42.321095
76.783539,25.828114,12.578564,42.481956
75.789314,25.351866,12.218404,42.084812
75.124275,25.08,11.815874,41.878654
74.539818,24.961395,11.564566,42.049583
75.339226,25.216848,11.680723,42.102596
75.27877,25.537992,11.909383,41.814907
75.762436,25.818996,11.938607,41.698833
75.110817,25.271597,11.69095,41.587765
73.868027,24.587353,11.427952,41.042702
73.108955,23.957832,10.876387,40.946819
73.726982,24.131174,11.199292,41.133537
74.197227,24.286274,11.202943,40.861004
73.888214,24.030823,11.173721,40.704563
73.921814,24.010752,10.879312,41.037689
73.290314,23.748001,10.443909,41.401066
73.659782,23.999805,10.754387,41.239521
73.404533,24.237009,11.051723,41.103275
73.639664,24.268023,10.983784,41.421238
73.767273,24.446844,11.164226,41.2547
74.076279,24.603762,11.338097,41.385899
75.137688,24.970524,11.587944,41.507011
75.399712,24.924908,11.542652,41.729095
75.822914,25.399309,11.725285,42.057156
75.816208,25.246037,11.699719,41.94109
75.715439,25.306257,11.618626,41.557041
75.997551,25.379244,11.618626,41.450615
75.298882,25.134739,11.360743,41.536747
75.896797,25.435804,11.52804,41.293552
77.052231,25.997814,11.926189,41.303688
77.159706,25.851833,11.760353,41.379662
76.440926,25.40844,11.494432,41.202358
76.817139,25.709517,11.507584,41.28344
76.05806,25.090948,11.064141,40.954071
76.595436,25.536165,11.278192,41.820507
76.582008,25.527044,11.126969,41.658356
76.467804,25.691263,11.182487,41.931969
76.612099,25.736881,11.118931,41.840767
76.322182,25.645641,11.170071,41.87114
76.706482,25.656599,11.288419,41.744484
77.367218,25.818996,11.489323,41.825573
77.124481,25.919342,11.535342,42.078876
76.7537,25.824459,11.652229,42.119415
76.490753,25.98321,11.552878,41.688751
76.80761,25.928471,11.641273,41.952213
77.218872,26.092693,11.807839,42.382912
76.146851,25.764252,11.660266,42.462273
76.106453,25.908396,11.65954,42.90992
75.438957,25.481424,11.534616,42.838707
75.661423,25.782494,11.685107,42.853977
75.135567,25.618275,11.518541,42.879421
75.331062,25.835409,11.579906,42.925171
75.364799,25.910225,11.549955,42.986217
75.418701,25.782494,11.602552,42.859081
75.189468,25.636522,11.49151,42.874325
74.704048,25.317205,11.431608,42.920113
74.643341,25.52157,11.557261,43.489864
74.326454,25.541645,11.539725,43.520355
75.270363,25.554413,11.588675,43.128693
73.881493,24.999708,11.454985,43.011646
74.083725,25.134739,11.454985,43.072712
73.463448,24.671276,11.257733,43.21513
73.321869,24.671276,11.153268,43.011646
74.009583,24.824554,11.365856,42.431759
74.232063,24.857397,11.362206,42.436779
74.548981,24.888409,11.433068,42.533466
74.730972,24.979645,11.378274,43.032032
74.886047,25.098246,11.321295,43.088215
74.306236,24.934025,11.334442,43.261845
74.2995,24.930378,11.345405,43.282238
73.085899,24.559973,11.272346,43.404819
72.040871,24.523472,11.190523,44.135132
72.141991,24.496113,11.284036,43.981907
73.072418,24.696825,11.411153,43.823631
72.924088,24.614714,11.305222,44.012562
72.128494,24.341015,11.178839,44.1045
72.270073,24.486992,11.19637,44.247505
73.018463,24.73332,11.349053,44.094311
