Date,SPY,EFA,EEM,TLT
2003-09-10,67.673843,20.922064,10.040902,41.303997
2003-09-11,67.872925,21.038845,10.029275,41.035667
2003-09-12,67.999031,21.128674,10.100493,41.318661
2003-09-15,67.760094,21.189768,9.951509,41.255249
2003-09-16,68.749107,21.399973,10.156454,41.191822
2003-09-17,68.61628,21.540113,10.112847,41.704109
2003-09-18,69.426041,21.766491,10.229132,41.733391
2003-09-19,69.072906,21.685644,10.181889,41.782181
2003-09-22,68.326729,21.441298,10.015466,41.45042
2003-09-23,68.586548,21.489803,10.040175,41.733391
2003-09-24,67.367294,21.385603,10.058344,42.094509
2003-09-25,66.814255,21.110714,9.90936,42.304302
2003-09-26,66.594398,21.020878,9.840317,42.684868
2003-09-29,67.247322,21.290379,9.910083,42.343323
2003-09-30,66.594398,21.020878,9.878832,43.045959
2003-10-01,68.013542,21.710791,10.138289,42.882824
2003-10-02,68.260071,21.676666,10.283638,42.686802
2003-10-03,68.886353,21.992872,10.385386,41.790165
2003-10-06,69.199539,22.222847,10.425357,41.971458
2003-10-07,69.466026,22.188705,10.414454,41.486385
2003-10-08,69.292793,22.09708,10.492219,41.476543
2003-10-09,69.479378,22.2498,10.668821,41.182587
2003-10-10,69.672607,22.343222,10.799638,41.427589
2003-10-13,69.892456,22.564205,10.963158,41.265911
2003-10-14,70.138985,22.682789,10.753846,40.981689
2003-10-15,69.952415,22.46719,10.883939,40.780819
2003-10-16,70.232254,22.601934,10.881032,40.619106
2003-10-17,69.466026,22.485151,10.814901,40.932709
2003-10-20,69.985733,22.725903,10.875221,41.069897
2003-10-21,69.865814,22.648653,10.929727,41.221775
2003-10-22,68.986282,22.427658,10.769112,41.623569
2003-10-23,68.859734,22.143789,10.610677,41.319778
2003-10-24,69.013008,22.186909,10.554718,41.78038
2003-10-27,69.046295,22.285721,10.676088,41.697048
2003-10-28,69.985733,22.548037,10.822165,41.917549
2003-10-29,70.079002,22.52109,10.912285,41.540276
2003-10-30,70.225578,22.546251,10.873039,41.354073
2003-10-31,70.158974,22.386341,10.78583,41.741158
2003-11-03,70.618668,22.499521,11.043104,41.543381
2003-11-04,70.465439,22.623495,11.073624,41.779526
2003-11-05,70.518745,22.494135,11.088162,41.494171
2003-11-06,70.891869,22.296501,11.008946,41.105488
2003-11-07,70.365517,22.503122,11.020574,41.08094
2003-11-10,70.079002,22.316269,10.86868,41.046448
2003-11-11,70.059044,22.231827,10.729143,41.051361
